// J23 1304

'cause [ˈkɔːz]
abruption [ə'brʌpʃ°n]
abruptness [ə'brʌptnəs]
abscess ['æbses]
absciss ['æbsis]
abscissa [æb'sisə]
abscission [æb'siʃ°n]
abscond [əb'skɒnd]
absence ['æbs°ns]
absent ['æbs°nt]
absent-minded ['æbs°nt'maindid]
absent-mindedness [.æbs°nt'maindidnəs]
absentation [.æbsən'teiʃ°n]
absentee [.æbsən'ti:]
absenteeism [.æbsən'ti:iz°m]
absently ['æbsəntli]
absinth(e) ['æbsinθ]
absinthial [æb'sinθiəl]
absinthism [æb'sinθiz°m]
absinthium [æb'sinθiəm]
absolute ['æbsəlu:t]
absolutely ['æbsəlu:tli]
absoluteness ['æbsəlu:tnəs]
absolution [.æbsə'lu:ʃ°n]
absolutism ['æbsəlu:tiz°m]
absolutist ['æbsəlu:tist]
absolutory [æb'sɒlutəri]
absolve [əb'zɒlv]
absonant ['æbsəʋnənt]
absorb [əb'zɔ:b]
absorbency [əb'zɔ:bənsi]
absorbent [əb'zɔ:bənt]
absorber [əb'zɔ:bə(r)]
absorbing [əb'zɔ:biŋ]
absorption [əb'zɔ:pʃ°n]
absorptive [əb'zɔ:ptiv]
absquatulate [əb'skwɔʧuleit]
abstain [əb'stein]
abstainer [əb'stein°r]
abstemious [æb'sti:mjəs]
abstention [əb'stenʃ°n]
abstergent [əb'stз:ʤənt]
abstersion [əb'stз:ʃ°n]
abstersive [əb'stз:siv]
abstinence ['æbstinəns]
abstinency ['æbstinənsi]
abstinent ['æbstinənt]
abstract ['æbstrækt]
abstracted [æb'stræktid]
abstractedly [æb'stræktidli]
abstractedness [æb'stræktidnəs]
abstraction [æb'strækʃ°n]
abstractionism [əb'strækʃəniz°m]
abstractionist [əb'strækʃənist]
abstractive [əb'stræktiv]
abstriction [æb'strikʃ°n]
abstruse [æb'stru:s]
abstrusity [əb'stru:səti]
absurd [əb'sз:d]
absurdist [əb'sз:dist]
absurdity [əb'sз:diti]
abubble [ə'bʌb°l]
abundance [ə'bʌndəns]
abundant [ə'bʌndənt]
abusage [ə'bju:siʤ]
abuse [ə'bju:s]
abusive [ə'bju:siv]
abut [ə'bʌt]
abutment [ə'bʌtmənt]
abutter [ə'bʌtə]
abuzz [ə'bʌz]
abysm [ə'biz°m]
abysmal [ə'bizm°l]
abyss [ə'bis]
abyssal [ə'bisl]
abyssobenthos [ə.bisəʋ'benθɒs]
acacia [ə'keiʃə]
academese [ə.kædə'mi:z]
academia [.ækə'di:miə]
academic [.ækə'demik]
academical [ækə'demik°l]
academicals [.ækə'demikəlz]
academician [ə.kædə'miʃ°n]
academicism [ə'kædəmisiz°m]
academist [ə'kædəmist]
academy [ə'kædəmi]
academy-figure [ə'kædəmi.figə]
acajou ['ækəʒu:]
acarus ['ækərəs]
acataleptic [ə.kætə'leptik]
acaudal [ə'kɔ:dəl]
acaulescent [.ækɔ:'lesənt]
accede [æk'si:d]
accedence [ək'si:dəns]
accelerant [ək'selərənt]
accelerate [æk'seləreit]
accelerating [ək'seləreitiŋ]
acceleration [æk.selə'reiʃ°n]
accelerative [ək'selərətiv]
accelerator [ək'selə.reitə]
accelerogram [ək'selərəgræm]
accelerometer [ək.selə'rɒmitə]
accentI ['æks°nt]
accentual [æk'senʧuəl]
accentuate [æk'senʧu.eit]
accentuation [æk.senʧu'eiʃ°n]
accentuator [ək'senʧueitə]
accept [ək'sept]
acceptability [ək.septə'biləti]
acceptable [ək'septəb°l]
acceptance [ək'septəns]
acceptation [.æksep'teiʃ°n]
accepted [ək'septid]
acceptive [ək'septiv]
acceptor [ək'septə]
access ['ækses]
accessary [ək'sesəri]
accessibility [ək.sesə'biləti]
accessible [æk'sesəb°l]
accession [æk'seʃ°n]
accessorial [.æksə'sɒriəl]
accessory [ək'sesəri]
accidence ['æksidəns]
accident ['æksid°nt]
accidental [.æksi'dent°l]
accidentalism [.æksi'dentəliz°m]
accidentally [.æksi'dent°li]
accidie ['æksidi]
accipiter [ək'sipitə]
accipitral [ək'sipitrəl]
acclaim [ə'kleim]
acclamation [.æklə'meiʃ°n]
acclamatory [ə'klæmətəri]
acclimatation [ə.klaimə'teiʃ°n]
acclimate ['æklimeit]
acclimation [.ækli'meiʃ°n]
acclimatization [ə.klaimətai'zeiʃ°n]
acclimatize [ə'klaimə.taiz]
acclivity [ə'klivəti]
acclivous [ə'klaivəs]
accommodate [ə'kɒmə.deit]
accommodating [ə'kɒmə.deitiŋ]
accommodation [ə.kɒmə'deiʃ°n]
accommodation-ladder [əkɒmə'-deiʃ°n.lædə]
accommodation-train [ə.kɒmə'dei-ʃ°ntrein]
accommodative [ə'kɒmə.deitiv]
accompaniment [ə'kʌmp°nimənt]
accompanist [ə'kʌmpənist]
accompany [ə'kʌmp°ni]
accompanyist [ə'kʌmpəniist]
accomplice [ə'kʌmplis]
accompliceship [ə'kʌmplisʃip]
accomplish [ə'kʌmpliʃ]
accomplished [ə'kʌmpliʃt]
accomplishment [ə'kʌmpliʃmənt]
accord [ə'kɔ:d]
accordance [ə'kɔ:d°ns]
accordant [ə'kɔ:dənt]
according to [ə'kɔ:diŋ .tu:]
according [ə'kɔ:diŋ]
accordingly [ə'kɔ:diŋli]
accordion [ə'kɔ:diən]
accordionist [ə'kɔ:diənist]
accost [ə'kɒst]
accouchement [ə'ku:ʃma:nt]
accoucheur [.æku:'ʃз:]
accoucheuse [.æku:'ʃз:z]
account [ə'kaʋnt]
accountability [ə.kaʋntə'biləti]
accountable [ə'kaʋntəb°l]
accountancy [ə'kaʋntənsi]
accountant [ə'kaʋntənt]
accountantship [ə'kaʋntənʧip]
accounting [ə'kaʋntiŋ]
accoutre [ə'ku:tə]
accoutrement [ə'ku:trəmənt]
accoutrements [ə'ku:trəmənʧ]
accredit [ə'kredit]
accreditation [ə.kredi'teiʃ°n]
accredited [ə'kreditid]
accrementition [.ækrimin'tiʃ°n]
accrescence [ə'kresəns]
accrescency [ə'kresənsi]
accrescent [ə'kresənt]
accrete [ə'kri:t]
accretion [æ'kri:ʃ°n]
accretive [ə'kri:tiv]
accrual [ə'krʋəl]
accrue [ə'kru:]
acculturation [ə.kʌlʧə'reiʃ°n]
accumulate [ə'kju:mju.leit]
accumulation [ə.kju:mjʋ'leiʃ°n]
accumulative [ə'kju:mjələtiv]
accumulator [ə'kju:mjəleitə]
accuracy ['ækjʋrəsi]
accurate ['ækjʋrət]
accurateness ['ækjərətnəs]
accursed [ə'kз:sid]
accusal [ə'kju:zəl]
accusant [ə'kju:zənt]
accusation [.ækju:'zeiʃ°n]
accusative [ə'kju:zətiv]
accusatorial [ə.kju:zə'tɔ:riəl]
accusatory [ə'kju:zətəri]
accuse [ə'kju:z]
accused [ə'kju:zd]
accuser [ə'kju:zə]
accusing [ə'kju:ziŋ]
accustom [ə'kʌstəm]
accustomed [ə'kʌstəmd]
ace [eis]
acedia [.æsə'diə]
acellular [ei'seljʋlə]
acentric [ə'sentrik]
acequia [ə'seikiə]
acerate ['æsəreit]
acerb [ə'sз:b]
acerbity [ə'sз:bəti]
acerdese [æ'sз:di:s]
acerose ['æsərəʋs]
acervate [ə'sз:veit]
acescense [ə'sesəns]
acescent [ə'sesənt]
acetabular [.æsi'tæbjʋlə]
acetabulum [.æsi'tæbjʋləm]
acetaldehyde [.æsi'tældihaid]
acetanilid(e) [.æsi'tænilaid]
acetate ['æsəteit]
acetic [ə'si:tik]
acetification [ə.si:tifi'keiʃ°n]
acetify [ə'setifai]
acetimeter [.æsi'timitə]
acetone ['æsitəʋn]
acetose ['æsitəʋs]
acetous ['æsitəs]
acetum ['æsitəm]
acetyl ['æsitil]
acetylene [ə'setəli:n]
acetylide [ə'setilaid]
ache [eik]
acheless ['eikləs]
achene [ə'ki:n]
achievability [ə.ʧi:və'biliti]
achievable [ə'ʧi:vəb°l]
achieve [ə'ʧi:v]
achievement [ə'ʧi:vmənt]
achordate [æ'kɔ:deit]
achromate ['ækrəʋmeit]
achromatic [.ækrəʋ'mætik]
achromaticity [ə.krəʋmə'tisəti]
achromatism [ə'krəʋmətiz°m]
achromic [ə'krəʋmik]
achy ['eiki]
acicula [ə'sikjʋlə]
acicular [ə'sikjʋlə]
acid ['æsid]
acidic [ə'sidik]
acidification [ə.sidifi'keiʃ°n]
acidify [ə'sidi.fai]
acidimeter [.æsi'dimitə]
acidity [ə'sidəti]
acidulant [ə'sidjʋlənt]
acidulated [ə'sidjʋleitid]
acidulous [ə'sidjʋləs]
acinaciform [ə'sinəsifɔ:m]
acinar ['æsinə]
acinose ['æsinəʋs]
acknowledge [ək'nɒliʤ]
acknowledgement [ək'nɒliʤmənt]
acme ['ækmi]
acne ['ækni]
acock [ə'kɒk]
acockbill [ə'kɒkbil]
acolyte ['ækəlait]
aconite ['ækənait]
acorn ['eikɔ:n]
acosmic [ə'kɒzmik]
acosmism [ə'kɒzmiz°m]
acoumeter [ə'ku:mitə]
acoustextile [.æku:s'tekstail]
acoustic [ə'ku:stik]
acoustician [.æku:'stiʃ°n]
acoustics [ə'ku:stiks]
acoustochemistry [ə.ku:stəʋ'kemistri]
acoustooptics [ə.ku:stəʋ'ɒptiks]
acoustoscopy [.æku:s'tɒskəpi]
acquaint [ə'kweint]
acquaintance [ə'kweintəns]
acquaintanceship [ə'kweintənsʃip]
acquainted [ə'kweintid]
acquest [æ'kwest]
acquiesce [.ækwi'es]
acquiescence [.ækwi'esns]
acquiescent [.ækwi'es°nt]
acquire [ə'kwaiə]
acquirement [ə'kwaiəmənt]
acquisition [.ækwi'ziʃ°n]
acquisitive [ə'kwizətiv]
acquisitiveness [ə'kwizitivnəs]
acquit [ə'kwit]
acquittal [ə'kwit°l]
acquittance [ə'kwitəns]
acre ['eikə]
acreage ['eikəriʤ]
acrid ['ækrid]
acridity [æ'kridəti]
acrimonious [.ækri'məʋniəs]
acrimony ['ækriməni]
acrobat ['ækrə.bæt]
acrobatic [.ækrə'bætik]
acrobatics [.ækrə'bætiks]
acrography [ə'krɒgrəfi]
acrolect ['ækrəʋlekt]
acrolein [ə'krəʋliin]
acrolith ['ækrəʋliθ]
acronym ['ækrənim]
acrophobe ['ækrəfəʋb]
acrophobia [ækrə'fəʋbiə]
acrophony [ə'krɒfəni]
acropolis [ə'krɒpəlis]
acrospire ['ækrəspaiə]
across [ə'krɒs]
acrostic [ə'krɒstik]
acroterium [.ækrəʋ'teriəm]
acrotism ['ækrəʋtiz°m]
acrylic [ə'krilik]
act [ækt]
actable ['æktəb°l]
actigraph ['æktigrə:f]
acting ['æktiŋ]
actinia [æk'tiniə]
actinium [æk'tiniəm]
actinolite [æk'tinəlait]
actinometer [.ækti'nɒmitə]
actinomycosis [.æktinəʋmai'kəʋsis]
actinotherapy [.æktinəʋ'θerəpi]
actinouranium [.æktinəʋjʋə'reini-əm]
action [ækʃ°n]
actionable ['ækʃ°nəb°l]
actionist ['ækʃ°nist]
activate ['ækti.veit]
activated ['æktiveitid]
activation [.ækti'veiʃ°n]
activator ['æktiveitə]
active ['æktiv]
actively ['æktivli]
activist ['æktivist]
activity [æk'tivəti]
actograph ['æktəgrə:f]
actor ['æktə]
actorish ['æktəriʃ]
actress ['æktrəs]
actressy ['æktrisi]
actual ['ækʧuəl]
actualism ['ækʧuəliz°m]
actualist ['ækʧuəlist]
actuality [.ækʧu'æləti]
actualization [.ækʧuəlai'zeiʃ°n]
actualize ['ækʧuəlaiz]
actually ['æktuəli]
actuary ['æktuəri]
actuate ['ækʧueit]
actuation [.ækʧʋ'eiʃ°n]
acuate ['ækjʋit]
acuity [ə'kju:əti]
aculeate [ə'kju:liit]
acumen [ə'kju:men]
acuminate [ə'kju:minət]
acupressure ['ækjʋ.preʃə]
acupunctural ['ækjʋ.pʌŋkʧ°rəl]
acupuncture [.ækjʋ'pʌŋkʧə]
acupuncturist [.ækjʋ'pʌŋkʧərist]
acutance [ə'kju:təns]
acute [ə'kju:t]
acyclic [ə'saiklik]
adage ['ædiʤ]
adamant ['ædəmənt]
adamantine [.ædə'mæntain]
adamsite ['ædəmsait]
adangle [ə'dæŋgəl]
adapt [ə'dæpt]
adaptability [ə.dæptə'biləti]
adaptable [ə'dæptəb°l]
adaptation [.ædæp'teiʃ°n]
adaptative [ə'dæptətiv]
adapter [ə'dæptə(r)]
adaption [ə'dæpʃ°n]
adaptive [ə'dæptiv]
adaptor [ə'dæptə(r)]
add [æd]
addend ['ædend]
addenda [ə'dendə]
addendum [ə'dendəm]
adder ['ædə]
addict ['ædikt]
addicted [ə'diktid]
addiction [ə'dikʃ°n]
addictive [ə'diktiv]
additament [ə'ditəmənt]
addition [ə'diʃ°n]
additional [ə'diʃ°nəl]
additive ['ædətiv]
additivity [.ædi'tivəti]
additory ['æditəri]
addle [æd°l]
address [ə'dres]
addressable [ə'dresəb°l]
addressee [.ædre'si:]
addresser [ə'dresə(r)]
addressless [ə'dresləs]
adduce [ə'dju:s]
adducent [ə'dju:sənt]
adduction [ə'dʌkʃ°n]
adductor [ə'dʌktə]
ademption [ə'dempʃ°n]
adenine ['ædəni:n]
adenitis [.ædə'naitis]
adenoid ['ædənɔid]
adenoidectomy [.ædənɔi'dektəmi]
adenoids ['ædinɔids]
adenology [.ædə'nɒləʤi]
adenoma [.ædə'nəʋmə]
adenovirus [.ædənəʋ'vaiərəs]
adephagia [.ædə'feiʤə]
adept ['ædept]
adequacy ['ædikwəsi]
adequate ['ædikwət]
adequation [.ædi'kweiʃ°n]
adequative ['ædik.wətiv]
adhere [əd'hiə]
adherence [əd'hiərəns]
adherent [əd'hiərənt]
adhesion [əd'hi:ʒən]
adhesive [əd'hi:siv]
adhesiveness [əd'hi:sivnəs]
adiaphorism [.ædi'æfərizəm]
adiaphorist [.ædi'æfərist]
adiathermancy [.ædiə'θз:mænsi]
adieu [ə'dju:]
adipoma [.ædi'pəʋmə]
adipose ['ædipəʋs]
adiposis [.ædi'pəʋsis]
adiposity [.ædi'pɒsəti]
adipsy ['ædipsi]
adit ['ædit]
adither [ə'diðə]
adjacence [ə'ʤeisəns]
adjacency [ə'ʤeis°nsi]
adjacent [ə'ʤeis°nt]
adjectival [.æʤik'taiv°l]
adjective ['æʤiktiv]
adjoin [ə'ʤɔin]
adjoining [ə'ʤɔiniŋ]
adjoint [ə'ʤɔint]
adjourn [ə'ʤз:n]
adjournment [ə'ʤз:nmənt]
adjudg(e)ment [ə'ʤʌʤmənt]
adjudge [ə'ʤʌʤ]
adjudicate [ə'ʤu:dikeit]
adjudication [ə.ʤu:di'keiʃ°n]
adjudicator [ə'ʤu:dikeitə]
adjudicatory [ə'ʤu:dikətəri]
adjunct ['æʤʌŋkt]
adjunction [ə'ʤʌŋkʃ°n]
adjunctive [ə'ʤʌŋktiv]
adjuration [.æʤʋ'reiʃ°n]
adjure [ə'ʤʋə]
adjust [ə'ʤʌst]
adjustability [ə.ʤʌstə'biləti]
adjustable [ə'ʤʌstəb°l]
adjuster [ə'ʤʌstə]
adjusting [ə'ʤʌstiŋ]
adjustment [ə'ʤʌs(t)mənt]
adjustor [ə'ʤʌstə]
adjutancy ['æʤʋtənsi]
adjutant ['æʤʋtənt]
adjuvancy ['æʤʋvənsi]
adjuvant ['æʤʋvənt]
adman ['ædmæn]
admass ['ædmæs]
admeasure [æd'meʒə]
admeasurement [æd'meʒəmənt]
adminicle [æd'minikəl]
adminicular [.ædmi'nikjʋlə]
administer [əd'ministə(r)]
administerial [əd.mini'stiəriəl]
administrant [əd'ministrənt]
administrate [əd'ministreit]
administration [əd.minis'treiʃ°n]
administrative [əd'ministrətiv]
administrator [əd'ministreitə]
administratrix [əd'ministreitriks]
admirable ['ædm°rəb°l]
admiral ['ædm°rəl]
Admiralty ['ædm°rəlti]
admiration [.ædmə'reiʃ°n]
admire [əd'maiə(r)]
admirer [əd'maiərə(r)]
admissibility [əd.misə'biləti]
admissible [əd'misəb°l]
admission [əd'miʃ°n]
admissive [əd'misiv]
admit [əd'mit]
admittable [əd'mitəb°l]
admittance [əd'mit°ns]
admittedly [əd'mitidli]
admix [əd'miks]
admixture [əd'miksʧə(r)]
admonish [əd'mɒniʃ]
admonishment [əd'mɒniʃmənt]
admonition [.ædmə'niʃ°n]
admonitive [əd'mɒnitiv]
admonitory [əd'mɒnitəri]
adnation [æd'neiʃ°n]
adnexa [æd'neksə]
ado [ə'du:]
adobe [ə'dəʋbi]
adolescence [.ædə'les°ns]
adolescent [.ædə'les°nt]
adopt [ə'dɒpt]
adoptability [ə.dɒptə'biləti]
adoptable [ə'dɒptəb°l]
adoptee [.ædɒp'ti:]
adopter [ə'dɒptə]
adoption [ə'dɒpʃ°n]
adoptive [ə'dɒptiv]
adorable [ə'dɔ:rəb°l]
adoral [æ'dɔ:rəl]
adoration [.ædə'reiʃ°n]
adore [ə'dɔ:(r)]
adorer [ə'dɔ:rə]
adorn [ə'dɔ:n]
adornment [ə'dɔ:nmənt]
adorno [ə'dɔ:nəʋ]
adoze [ə'dəʋz]
adperson ['æd.pз:sən]
adrenal [ə'dri:n°l]
adrenalectomy [ə.dri:nə'lektəmi]
adrenalin [ə'drenəlin]
adrenolytic [ə.dri:nə'litik]
adrift [ə'drift]
adroit [ə'drɔit]
adroitness [ə'drɔitnəs]
adroop [ə'dru:p]
adscititious [.ædsi'tiʃəs]
adscription [æd'skripʃ°n]
adulation [.ædjʋ'leiʃ°n]
adulator ['ædjʋleitə]
adulatory ['ædjʋleitəri]
adult ['ædʌlt]
adulterant [ə'dʌltərənt]
adulterate [ə'dʌltəreit]
adulteration [ə.dʌltə'reiʃ°n]
adulterer [ə'dʌltərə]
adulteress [ə'dʌltərəs]
adulterine [ə'dʌltərain]
adultery [ə'dʌlt°ri]
adulthood ['ædʌlt.hʋd]
adumbral [æ'dʌmbrəl]
adumbrant [æ'dʌmbrənt]
adumbrate ['ædʌmbreit]
adumbration [.ædʌm'breiʃ°n]
adumbrative [ə'dʌmbrətiv]
adunation [.ædjʋ'neiʃ°n]
adunc [ə'dʌŋk]
adust [ə'dʌst]
advance [əd'va:ns]
advanced [əd'va:nst]
advancement [əd'va:nsmənt]
advantage [əd'va:ntiʤ]
advantageous [.ædvən'teiʤəs]
advent ['ædvənt]
adventist ['ædventist]
adventitious [.ædvən'tiʃəs]
adventive ['ædventiv]
adventure [əd'venʧə]
adventurer [əd'venʧ°rə(r)]
adventuress [əd'venʧərəs]
adventurism [əd'venʧəriz°m]
adventurist [əd'venʧərist]
adventurous [əd'venʧərəs]
adverb ['ædvз:b]
adverbial [əd'vз:biəl]
adverbiality [əd.vз:bi'æləti]
adversaria [.ædvə'seəriə]
adversary ['ædvəs°ri]
adversative [əd'vз:sətiv]
adverse ['ædvз:s]
adversity [əd'vз:səti]
advert [əd'vз:t]
advertence, advertency [əd'vз:-təns, -si]
advertent [əd'vз:tənt]
advertise ['ædvə.taiz]
advertisement [əd'vз:tismənt]
advertiser ['ædvətaizə]
advertising ['ædvətaiziŋ]
advertize ['ædvətaiz]
advice [əd'vais]
advisability [əd.vaizə'biləti]
advisable [əd'vaizəb°l]
advise [əd'vaiz]
advised [əd'vaizd]
advisedly [əd'vaizidli]
advisement [əd'vaizmənt]
adviser [əd'vaizə]
advisor [əd'vaizə]
advisory [əd'vaiz°ri]
advocacy ['ædvəkəsi]
advocate I ['ædvəkeit]
advocation [.ædvə'keiʃ°n]
advocatory ['ædvəkeitəri]
adwoman ['ædwʋmən]
adyta ['æditə]
adytum ['æditəm]
aedicule ['edikju:l]
aegean [i:'ʤi:ən]
aegis ['i:ʤis]
aegrotat ['aigrəʋtæt]
aelurophobe [ei'lʋərəfəʋb]
Aeolian [i'əʋliən]
aeon ['i:ən]
aeonian [i:'əʋniən]
aerate ['eəreit]
aeration [eə'reiʃ°n]
aerator ['eəreitə]
aerial ['eəriəl]
aerialist ['eəriəlist]
aeriality [.eəri'æləti]
aerie ['iəri]
aerification [.eərifi'keiʃ°n]
aeriform ['eərifɔ:m]
aerify ['eərifai]
aero-engine [.eərəʋ'enʤin]
aerobatics [.eərə'bætiks]
aerobe ['eərəʋb]
aerobic [eə'rəʋbik]
aerobics [eə'rəʋbiks]
aerobiology [.eərəʋbai'ɒləʤi]
aerobiosis [.eərəbai'əʋsis]
aerobiotic [.eərəbai'əʋtik]
aerobomb ['eərəʋbɒm]
aerobus ['eərəbʌs]
aerocamera [.eərəʋ'kæmərə]
aerocar ['eərəʋka:]
aerodrome ['eərəd.rəʋm]
aerodynamic [.eərəʋdai'næmik]
aerodynamics [.eərədai'næmiks]
aerogel ['eərəʋʤel]
aerogenic [.eərəʋ'ʤenik]
aerogram ['eərəgræm]
aerograph ['eərəʋgrə:f]
aerography [eə'rɒgrəfi]
aerojet ['eərəʋʤet]
aerolite ['eərəʋlait]
aerolith ['eərəliθ]
aerologic [.eərə'lɔʤik]
aerology [eə'rɔləʤi]
aeromechanic [.eərəʋmi'kænik]
aeromechanics [.eərəʋmi'kæniks]
aerometer [eə'rɔmitə]
aerometry [eə'rɔmitri]
aeromodeller [.eərəʋ'mɔdələ]
aeronaut ['eərəʋnɔ:t]
aeronautic [eərə'nɔ:tik]
aeronautics [.eərə'nɔ:tiks]
aeronavigation ['eərə.nævi'geiʃ°n]
aeronavigator [.eərə'nævigeitə]
aerophobe ['eərəfəʋb]
aerophobia [.eərə'fəʋbiə]
aerophone ['eərəfəʋn]
aerophysics [.eərə'fiziks]
aeroplane ['eərə.plein]
aerosiderite [.eərəʋ'saidərait]
aerosiderolite [.eərəʋ'saidərəlait]
aerosol ['eəra.sɒl]
aerosoloscope [.eərə'sɒləskəʋp]
aerospace ['eərəʋ.speis]
aerosphere ['eərəsfiə]
aerostat ['eərəʋstæt]
aerostatic [.eərəʋ'stætik]
aerostatics [.eərəʋ'stætiks]
aerostation [.eərəʋ'steiʃ°n]
aerotechnics [.eərəʋ'tekniks]
aerothermodynamics ['eərəʋ.θз:-məʋdai'næmiks]
aerotrain ['eərətrein]
aery ['iəri]
aesthete ['i:sθi:t]
aesthetic [i:s'θetik]
aesthetician [.i:sθə'tiʃən]
aestheticism [i:s'θetisizəm]
aesthetics [i:s'θetiks]
aether ['i:θə]
aethereal [i:'θiəriəl]
aethrioscope [i:'θriəskəʋp]
aetiologic [.i:tiə'lɒʤik]
aetiology [.i:ti' ləʤi]
afar [ə'fa:]
affability [.æfə'biləti]
affable ['æfəb°l]
affair [ə'feə]
affect [ə'fekt]
affectation [.æfek'teiʃ°n]
affected [ə'fektid]
affection [ə'fekʃ°n]
affectional [ə'fekʃ°nəl]
affectionate [ə'fekʃ°nət]
affective [ə'fektiv]
affiance [ə'faiəns]
affiant [ə'faiənt]
affidavit [.æfi'deivit]
